ticker,date,close_price,peak_price,drawdown_pct
AAPL,2023-02-07,154.65,154.65,0.00
AAPL,2023-02-08,151.92,154.65,-1.77
AAPL,2023-02-09,150.87,154.65,-2.44
AAPL,2023-02-10,151.01,154.65,-2.35
AAPL,2023-02-13,153.85,154.65,-0.52
AAPL,2023-02-14,153.20,154.65,-0.94
AAPL,2023-02-15,155.33,155.33,0.00
AAPL,2023-02-16,153.71,155.33,-1.04
AAPL,2023-02-17,152.55,155.33,-1.79
AAPL,2023-02-21,148.48,155.33,-4.41
AAPL,2023-02-22,148.91,155.33,-4.13
AAPL,2023-02-23,149.40,155.33,-3.82
AAPL,2023-02-24,146.71,155.33,-5.55
AAPL,2023-02-27,147.92,155.33,-4.77
AAPL,2023-02-28,147.41,155.33,-5.10
AAPL,2023-03-01,145.31,155.33,-6.45
AAPL,2023-03-02,145.91,155.33,-6.06
AAPL,2023-03-03,151.03,155.33,-2.77
AAPL,2023-03-06,153.83,155.33,-0.97
AAPL,2023-03-07,151.60,155.33,-2.40
AAPL,2023-03-08,152.87,155.33,-1.58
AAPL,2023-03-09,150.59,155.33,-3.05
AAPL,2023-03-10,148.50,155.33,-4.40
AAPL,2023-03-13,150.47,155.33,-3.13
AAPL,2023-03-14,152.59,155.33,-1.76
AAPL,2023-03-15,152.99,155.33,-1.51
AAPL,2023-03-16,155.85,155.85,0.00
AAPL,2023-03-17,155.00,155.85,-0.55
AAPL,2023-03-20,157.40,157.40,0.00
AAPL,2023-03-21,159.28,159.28,0.00
AAPL,2023-03-22,157.83,159.28,-0.91
AAPL,2023-03-23,158.93,159.28,-0.22
AAPL,2023-03-24,160.25,160.25,0.00
AAPL,2023-03-27,158.28,160.25,-1.23
AAPL,2023-03-28,157.65,160.25,-1.62
AAPL,2023-03-29,160.77,160.77,0.00
AAPL,2023-03-30,162.36,162.36,0.00
AAPL,2023-03-31,164.90,164.90,0.00
AAPL,2023-04-03,166.17,166.17,0.00
AAPL,2023-04-04,165.63,166.17,-0.32
AAPL,2023-04-05,163.76,166.17,-1.45
AAPL,2023-04-06,164.66,166.17,-0.91
AAPL,2023-04-10,162.03,166.17,-2.49
AAPL,2023-04-11,160.80,166.17,-3.23
AAPL,2023-04-12,160.10,166.17,-3.65
AAPL,2023-04-13,165.56,166.17,-0.37
AAPL,2023-04-14,165.21,166.17,-0.58
AAPL,2023-04-17,165.23,166.17,-0.57
AAPL,2023-04-18,166.47,166.47,0.00
AAPL,2023-04-19,167.63,167.63,0.00
AAPL,2023-04-20,166.65,167.63,-0.58
AAPL,2023-04-21,165.02,167.63,-1.56
AAPL,2023-04-24,165.33,167.63,-1.37
AAPL,2023-04-25,163.77,167.63,-2.30
AAPL,2023-04-26,163.76,167.63,-2.31
AAPL,2023-04-27,168.41,168.41,0.00
AAPL,2023-04-28,169.68,169.68,0.00
AAPL,2023-05-01,169.59,169.68,-0.05
AAPL,2023-05-02,168.54,169.68,-0.67
AAPL,2023-05-03,167.45,169.68,-1.31
AAPL,2023-05-04,165.79,169.68,-2.29
AAPL,2023-05-05,173.57,173.57,0.00
GOOG,2023-02-07,108.04,108.04,0.00
GOOG,2023-02-08,100.00,108.04,-7.44
GOOG,2023-02-09,95.46,108.04,-11.64
GOOG,2023-02-10,94.86,108.04,-12.20
GOOG,2023-02-13,95.00,108.04,-12.07
GOOG,2023-02-14,94.95,108.04,-12.12
GOOG,2023-02-15,97.10,108.04,-10.13
GOOG,2023-02-16,95.78,108.04,-11.35
GOOG,2023-02-17,94.59,108.04,-12.45
GOOG,2023-02-21,92.05,108.04,-14.80
GOOG,2023-02-22,91.80,108.04,-15.03
GOOG,2023-02-23,91.07,108.04,-15.71
GOOG,2023-02-24,89.35,108.04,-17.30
GOOG,2023-02-27,90.10,108.04,-16.60
GOOG,2023-02-28,90.30,108.04,-16.42
GOOG,2023-03-01,90.51,108.04,-16.23
GOOG,2023-03-02,92.31,108.04,-14.56
GOOG,2023-03-03,94.02,108.04,-12.98
GOOG,2023-03-06,95.58,108.04,-11.53
GOOG,2023-03-07,94.17,108.04,-12.84
GOOG,2023-03-08,94.65,108.04,-12.39
GOOG,2023-03-09,92.66,108.04,-14.24
GOOG,2023-03-10,91.01,108.04,-15.76
GOOG,2023-03-13,91.66,108.04,-15.16
GOOG,2023-03-14,94.25,108.04,-12.76
GOOG,2023-03-15,96.55,108.04,-10.63
GOOG,2023-03-16,101.07,108.04,-6.45
GOOG,2023-03-17,102.46,108.04,-5.16
GOOG,2023-03-20,101.93,108.04,-5.66
GOOG,2023-03-21,105.84,108.04,-2.04
GOOG,2023-03-22,104.22,108.04,-3.54
GOOG,2023-03-23,106.26,108.04,-1.65
GOOG,2023-03-24,106.06,108.04,-1.83
GOOG,2023-03-27,103.06,108.04,-4.61
GOOG,2023-03-28,101.36,108.04,-6.18
GOOG,2023-03-29,101.90,108.04,-5.68
GOOG,2023-03-30,101.32,108.04,-6.22
GOOG,2023-03-31,104.00,108.04,-3.74
GOOG,2023-04-03,104.91,108.04,-2.90
GOOG,2023-04-04,105.12,108.04,-2.70
GOOG,2023-04-05,104.95,108.04,-2.86
GOOG,2023-04-06,108.90,108.90,0.00
GOOG,2023-04-10,106.95,108.90,-1.79
GOOG,2023-04-11,106.12,108.90,-2.55
GOOG,2023-04-12,105.22,108.90,-3.38
GOOG,2023-04-13,108.19,108.90,-0.65
GOOG,2023-04-14,109.46,109.46,0.00
GOOG,2023-04-17,106.42,109.46,-2.78
GOOG,2023-04-18,105.12,109.46,-3.96
GOOG,2023-04-19,105.02,109.46,-4.06
GOOG,2023-04-20,105.90,109.46,-3.25
GOOG,2023-04-21,105.91,109.46,-3.24
GOOG,2023-04-24,106.78,109.46,-2.45
GOOG,2023-04-25,104.61,109.46,-4.43
GOOG,2023-04-26,104.45,109.46,-4.58
GOOG,2023-04-27,108.37,109.46,-1.00
GOOG,2023-04-28,108.22,109.46,-1.13
GOOG,2023-05-01,107.71,109.46,-1.60
GOOG,2023-05-02,105.98,109.46,-3.18
GOOG,2023-05-03,106.12,109.46,-3.05
GOOG,2023-05-04,105.21,109.46,-3.88
GOOG,2023-05-05,106.21,109.46,-2.97
MSFT,2023-02-07,267.56,267.56,0.00
MSFT,2023-02-08,266.73,267.56,-0.31
MSFT,2023-02-09,263.62,267.56,-1.47
MSFT,2023-02-10,263.10,267.56,-1.67
MSFT,2023-02-13,271.32,271.32,0.00
MSFT,2023-02-14,272.17,272.17,0.00
MSFT,2023-02-15,269.32,272.17,-1.05
MSFT,2023-02-16,262.15,272.17,-3.68
MSFT,2023-02-17,258.06,272.17,-5.18
MSFT,2023-02-21,252.67,272.17,-7.16
MSFT,2023-02-22,251.51,272.17,-7.59
MSFT,2023-02-23,254.77,272.17,-6.39
MSFT,2023-02-24,249.22,272.17,-8.43
MSFT,2023-02-27,250.16,272.17,-8.09
MSFT,2023-02-28,249.42,272.17,-8.36
MSFT,2023-03-01,246.27,272.17,-9.52
MSFT,2023-03-02,251.11,272.17,-7.74
MSFT,2023-03-03,255.29,272.17,-6.20
MSFT,2023-03-06,256.87,272.17,-5.62
MSFT,2023-03-07,254.15,272.17,-6.62
MSFT,2023-03-08,253.70,272.17,-6.79
MSFT,2023-03-09,252.32,272.17,-7.29
MSFT,2023-03-10,248.59,272.17,-8.66
MSFT,2023-03-13,253.92,272.17,-6.71
MSFT,2023-03-14,260.79,272.17,-4.18
MSFT,2023-03-15,265.44,272.17,-2.47
MSFT,2023-03-16,276.20,276.20,0.00
MSFT,2023-03-17,279.43,279.43,0.00
MSFT,2023-03-20,272.23,279.43,-2.58
MSFT,2023-03-21,273.78,279.43,-2.02
MSFT,2023-03-22,272.29,279.43,-2.56
MSFT,2023-03-23,277.66,279.43,-0.63
MSFT,2023-03-24,280.57,280.57,0.00
MSFT,2023-03-27,276.38,280.57,-1.49
MSFT,2023-03-28,275.23,280.57,-1.90
MSFT,2023-03-29,280.51,280.57,-0.02
MSFT,2023-03-30,284.05,284.05,0.00
MSFT,2023-03-31,288.30,288.30,0.00
MSFT,2023-04-03,287.23,288.30,-0.37
MSFT,2023-04-04,287.18,288.30,-0.39
MSFT,2023-04-05,284.34,288.30,-1.37
MSFT,2023-04-06,291.60,291.60,0.00
MSFT,2023-04-10,289.39,291.60,-0.76
MSFT,2023-04-11,282.83,291.60,-3.01
MSFT,2023-04-12,283.49,291.60,-2.78
MSFT,2023-04-13,289.84,291.60,-0.60
MSFT,2023-04-14,286.14,291.60,-1.87
MSFT,2023-04-17,288.80,291.60,-0.96
MSFT,2023-04-18,288.37,291.60,-1.11
MSFT,2023-04-19,288.45,291.60,-1.08
MSFT,2023-04-20,286.11,291.60,-1.88
MSFT,2023-04-21,285.76,291.60,-2.00
MSFT,2023-04-24,281.77,291.60,-3.37
MSFT,2023-04-25,275.42,291.60,-5.55
MSFT,2023-04-26,295.37,295.37,0.00
MSFT,2023-04-27,304.83,304.83,0.00
MSFT,2023-04-28,307.26,307.26,0.00
MSFT,2023-05-01,305.56,307.26,-0.55
MSFT,2023-05-02,305.41,307.26,-0.60
MSFT,2023-05-03,304.40,307.26,-0.93
MSFT,2023-05-04,305.41,307.26,-0.60
MSFT,2023-05-05,310.65,310.65,0.00
NFLX,2023-02-07,362.95,362.95,0.00
NFLX,2023-02-08,366.83,366.83,0.00
NFLX,2023-02-09,362.50,366.83,-1.18
NFLX,2023-02-10,347.36,366.83,-5.31
NFLX,2023-02-13,358.57,366.83,-2.25
NFLX,2023-02-14,359.96,366.83,-1.87
NFLX,2023-02-15,361.42,366.83,-1.47
NFLX,2023-02-16,350.71,366.83,-4.39
NFLX,2023-02-17,347.96,366.83,-5.14
NFLX,2023-02-21,337.50,366.83,-8.00
NFLX,2023-02-22,334.88,366.83,-8.71
NFLX,2023-02-23,323.65,366.83,-11.77
NFLX,2023-02-24,317.15,366.83,-13.54
NFLX,2023-02-27,323.03,366.83,-11.94
NFLX,2023-02-28,322.13,366.83,-12.19
NFLX,2023-03-01,313.48,366.83,-14.54
NFLX,2023-03-02,311.88,366.83,-14.98
NFLX,2023-03-03,315.18,366.83,-14.08
NFLX,2023-03-06,312.03,366.83,-14.94
NFLX,2023-03-07,308.47,366.83,-15.91
NFLX,2023-03-08,311.79,366.83,-15.00
NFLX,2023-03-09,297.78,366.83,-18.82
NFLX,2023-03-10,292.76,366.83,-20.19
NFLX,2023-03-13,293.51,366.83,-19.99
NFLX,2023-03-14,294.94,366.83,-19.60
NFLX,2023-03-15,303.79,366.83,-17.19
NFLX,2023-03-16,310.06,366.83,-15.48
NFLX,2023-03-17,303.50,366.83,-17.26
NFLX,2023-03-20,305.13,366.83,-16.82
NFLX,2023-03-21,305.79,366.83,-16.64
NFLX,2023-03-22,293.90,366.83,-19.88
NFLX,2023-03-23,320.37,366.83,-12.67
NFLX,2023-03-24,328.39,366.83,-10.48
NFLX,2023-03-27,327.66,366.83,-10.68
NFLX,2023-03-28,323.52,366.83,-11.81
NFLX,2023-03-29,332.03,366.83,-9.49
NFLX,2023-03-30,338.43,366.83,-7.74
NFLX,2023-03-31,345.48,366.83,-5.82
NFLX,2023-04-03,348.28,366.83,-5.06
NFLX,2023-04-04,346.75,366.83,-5.47
NFLX,2023-04-05,342.35,366.83,-6.67
NFLX,2023-04-06,339.33,366.83,-7.50
NFLX,2023-04-10,338.99,366.83,-7.59
NFLX,2023-04-11,338.21,366.83,-7.80
NFLX,2023-04-12,331.03,366.83,-9.76
NFLX,2023-04-13,346.19,366.83,-5.63
NFLX,2023-04-14,338.63,366.83,-7.69
NFLX,2023-04-17,332.72,366.83,-9.30
NFLX,2023-04-18,333.70,366.83,-9.03
NFLX,2023-04-19,323.12,366.83,-11.92
NFLX,2023-04-20,325.35,366.83,-11.31
NFLX,2023-04-21,327.98,366.83,-10.59
NFLX,2023-04-24,329.02,366.83,-10.31
NFLX,2023-04-25,322.55,366.83,-12.07
NFLX,2023-04-26,321.15,366.83,-12.45
NFLX,2023-04-27,325.85,366.83,-11.17
NFLX,2023-04-28,329.93,366.83,-10.06
NFLX,2023-05-01,324.12,366.83,-11.64
NFLX,2023-05-02,317.55,366.83,-13.43
NFLX,2023-05-03,319.30,366.83,-12.96
NFLX,2023-05-04,320.78,366.83,-12.55
NFLX,2023-05-05,322.76,366.83,-12.01
